title,address,recommended_units,review_score,final_price
Hotel Noreg,Ålesund,"Basic Room
1 queen bed
Breakfast included","Scored 8.5
8.5
Very Good
3,174 reviews",€ 112
Scandic Parken,Ålesund,"Economy Twin Room
2 twin beds
Breakfast included
High-speed internet
Free cancellation
No prepayment needed – pay at the property
Only 4 rooms left at this price on our site","Scored 8.3
8.3
Very Good
1,580 reviews",€ 138
Aalesund City Apartment,Ålesund,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 22 m²
2 beds (1 full, 1 sofa bed)
High-speed internet
Free cancellation
Only 3 left at this price on our site","Scored 8.1
8.1
Very Good
587 reviews",€ 189
Quality Hotel Waterfront,Ålesund,"Standard Double or Twin Room
1 queen bed
Breakfast included
High-speed internet","Scored 8.0
8.0
Very Good
1,433 reviews",€ 135
Thon Hotel Ålesund,Ålesund,"Standard Twin Room
2 twin beds
Breakfast included
High-speed internet
Free cancellation","Scored 8.6
8.6
Excellent
1,177 reviews",€ 191
Quality Hotel Ålesund,Ålesund,"Standard Twin Room
2 twin beds
Breakfast included
High-speed internet","Scored 8.2
8.2
Very Good
1,244 reviews",€ 135
Hotel 1904,Ålesund,"Standard Double Room
Beds: 1 double or 2 twins
Breakfast included
High-speed internet
Only 4 rooms left at this price on our site","Scored 9.0
9.0
Wonderful
1,600 reviews",€ 191
Hotel Brosundet,Ålesund,"Standard Double Room
1 full bed
Breakfast included
Free cancellation","Scored 8.8
8.8
Excellent
448 reviews",€ 231
Thon Partner Hotel Baronen,Ålesund,"Queen Room
1 queen bed
Breakfast included
High-speed internet","Scored 8.4
8.4
Very Good
361 reviews",€ 138
Vestavind hytter og rom AS,Ålesund,"2×
Single Room with Bathroom
2 twin beds
Free cancellation","Scored 9.2
9.2
Wonderful
138 reviews",€ 129
"Sunde Fjord Hotel, free and easy parking",Solavagen,"Standard Double Room
1 full bed
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 2 rooms left at this price on our site","Scored 8.0
8.0
Very Good
1,152 reviews",€ 136
Systra Hotel Søvik,Syvik,"Twin Room
2 twin beds
Free cancellation","Scored 7.5
7.5
Good
57 reviews",€ 85
Brattvåg Fjordhotell,Brattvåg,"Twin Room
2 twin beds
Breakfast included
Parking + high-speed internet
Only 3 rooms left at this price on our site","Scored 7.4
7.4
Good
65 reviews",€ 146
Quality Hotel Ulstein,Ulsteinvik,"Double Room
Beds: 1 double or 2 twins
Breakfast included
High-speed internet","Scored 8.6
8.6
Excellent
585 reviews",€ 139
Aursnes Hotell,Sykkylven,"Budget Double Room
2 twin beds
Only 3 rooms left at this price on our site","Scored 7.5
7.5
Good
80 reviews",€ 169
