title,address,recommended_units,review_score,final_price
FlatScape - Suíte Executiva ao Lado do WTC - Berrini,"Bairro do Itaim Bibi, São Paulo (Berrini)","Suíte Executiva
Suíte privativa
1 cama de casal extragrande
Cancelamento grátis
Resta 1 unidade por esse preço no nosso site","Com nota 9,1
9,1
Fantástico
32 avaliações",R$ 368
Paraíso Suítes by Charlie,"Vila Mariana, São Paulo","Estúdio - Acesso para Hóspedes com Mobilidade Reduzida
Suíte privativa
1 cama de casal
Cancelamento grátis
Resta 1 unidade por esse preço no nosso site","Com nota 8,7
8,7
Fabuloso
4.753 avaliações",R$ 597
Apê Brás - Shopping Plaza Polo,"Brás, São Paulo (Zona Leste)","Estúdio Standard
Estúdio inteiro • 1 banheiro • 1 cozinha • 16 m²
1 cama de casal","Com nota 8,6
8,6
Fabuloso
2.190 avaliações",R$ 368
Hotel Mega Polo,"Brás, São Paulo (Zona Leste)","Quarto Duplo Superior
1 cama de casal","Com nota 8,3
8,3
Muito bom
2.205 avaliações",R$ 663
Hotel Nacional Inn Jaragua Sao Paulo,"República, São Paulo","Quarto Standard com 2 Camas de Solteiro
2 camas de solteiro
Restam 2 quartos por esse preço no nosso site","Com nota 8,7
8,7
Fabuloso
3.278 avaliações",R$ 481
ibis Sao Paulo Congonhas,"Campo Belo, São Paulo","Quarto Standard com 1 Cama de Casal e 1 de Solteiro
2 camas (1 de solteiro, 1 de casal)
Café da manhã incluído
Cancelamento grátis
Não requer pré-pagamento – pague na acomodação
Restam 7 quartos por esse preço no nosso site","Com nota 8,4
8,4
Muito bom
7.268 avaliações",R$ 1.050
Hotel Patriarca,"Penha, São Paulo (Zona Leste)","Suíte
Suíte privativa • 4 quartos • 4 banheiros • 20 m²
4 camas de casal
Cancelamento grátis
Não requer pré-pagamento – pague na acomodação
Restam 2 unidades por esse preço no nosso site","Com nota 7,7
7,7
Bom
60 avaliações",R$ 158
DELPLAZA Marabá São Paulo,"República, São Paulo","Quarto Triplo Deluxe
3 camas de solteiro
Café da manhã incluído","Com nota 8,4
8,4
Muito bom
2.831 avaliações",R$ 584
ibis budget SP Centro Sao Joao,"República, São Paulo","Standard Room with One Bunk Bed and One Auxiliary Bed
2 camas (1 de solteiro, 1 beliche)
Cancelamento grátis","Com nota 7,5
7,5
Bom
4.629 avaliações",R$ 250
INNSiDE by Meliá São Paulo Iguatemi,"Bairro do Itaim Bibi, São Paulo","Quarto premium The Innside com 2 camas de solteiro
2 camas de solteiro
Não requer pré-pagamento – pague na acomodação
Resta 1 quarto por esse preço no nosso site","Com nota 8,3
8,3
Muito bom
1.470 avaliações",R$ 1.555
Paulista Suites by Charlie,"Vila Mariana, São Paulo","Suíte Standard
Suíte privativa • 1 quarto • 1 sala • 1 banheiro • 34 m²
1 cama de casal
Cancelamento grátis
Restam 4 unidades por esse preço no nosso site","Com nota 8,7
8,7
Fabuloso
2.481 avaliações",R$ 432
Pergamon SP Frei Caneca by Accor,"Consolação, São Paulo","Quarto Clássico com 2 Camas de Solteiro
1 cama de solteiro
Cancelamento grátis
Restam 7 quartos por esse preço no nosso site","Com nota 8,1
8,1
Muito bom
1.084 avaliações",R$ 505
Meliá Jardim Europa,"Bairro do Itaim Bibi, São Paulo","Quarto Acessível para Hóspedes com Mobilidade Reduzida
1 cama de casal extragrande
Não requer pré-pagamento – pague na acomodação
Resta 1 quarto por esse preço no nosso site","Com nota 8,4
8,4
Muito bom
1.488 avaliações",R$ 2.123
Charlie Hotel Atmosfera Paulista,"Vila Mariana, São Paulo","Estúdio Standard
Estúdio inteiro • 1 banheiro • 26 m²
1 cama de casal
Cancelamento grátis","Com nota 8,5
8,5
Muito bom
3.027 avaliações",R$ 311
