"sk_hotel","nome","tipo","estrelas"
1,"Hotel Parque das Aguas","Hotel",0
2,"Simas Praia Hotel","Hotel",0
3,"Tropical Mar Hotel","Hotel",0
4,"Rede Andrade Aracaju","Hotel",0
5,"Hotel da Costa By Nobile","Hotel",0
6,"Real Classic Hotel","Hotel",0
7,"Hotel Pousada do Sol","Hotel",0
8,"Pousada Águas Douradas","Hotel",0
9,"Celi Hotel Aracaju","Hotel",0
10,"Real Praia Hotel","Hotel",0
11,"Vidam Hotel Aracaju - Transamerica Collection","Hotel",0
12,"Pousada Santa Fé","Hotel",0
13,"Sandrin Praia Hotel","Hotel",0
14,"Aruanã Eco Praia Hotel","Hotel",0
15,"Hotel Rekinte","Hotel",0
16,"ARCUS Hotel By Atlântica","Hotel",0
17,"Pousada dos Caminhos","Hotel",0
18,"Basic Hotel Praia","Hotel",0
19,"Atalaia Apart Hotel","Hotel",0
20,"Primme Hotel Aracaju","Hotel",0
21,"Alto da Praia Hotel","Hotel",0
22,"Hotel Algas Marinhas","Hotel",0
23,"Infinity Pousada","Hotel",0
24,"Tropical Praia Hotel","Hotel",0
25,"Hotel Praia e Mar","Hotel",0
26,"Celi Connect Hotel Orla Aracaju","Hotel",0
27,"Hotel Litoral","Hotel",0
28,"Nascimento Praia Hotel","Hotel",0
29,"HANNA Arcos d'Atalaia Hotel - Aracaju","Hotel",0
30,"Pousada Raio de Sol","Hotel",0
31,"Aquarios Praia Hotel","Hotel",0
32,"Vila Aju - Pousada Temática","Hotel",0
33,"Pousada São Luiz","Hotel",0
34,"San Manuel Praia Hotel","Hotel",0
35,"Araras Praia Hotel","Hotel",0
36,"Hotel Aracaju Suites","Hotel",0
37,"Rede Andrade Jangadeiro","Hotel",0
38,"Marezzi Hotel Aracaju","Hotel",0
39,"FPH Hotel","Hotel",0
40,"Hotel Pousada do Farol","Hotel",0
41,"Pousada Lua Cheia","Hotel",0
42,"Pousada Encantare","Hotel",0
43,"Recanto da Orla","Hotel",0
44,"Jatobá Praia Hotel","Hotel",0
45,"Hotel Terra do Sol","Hotel",0
46,"Pousada Aruana Praia","Hotel",0
47,"Suítes Mar Azul","Hotel",0
48,"Pousada Aruamar","Hotel",0
49,"Pousada Valmar","Hotel",0
50,"Pousada Aracaju","Hotel",0
51,"Pousada Brisa Rio","Hotel",0
52,"Pousada Acalanto","Hotel",0
53,"Villa Atalaia","Hotel",0
54,"Pousada Villa Grécia","Hotel",0
55,"Pousada Panorâmica","Hotel",0
56,"Pousada Brisa do Mar","Hotel",0
57,"Villa Prime Beach Flats","Hotel",0
58,"Valerim Florianópolis","Hotel",0
59,"Rede Andrade Cecomtur","Hotel",0
60,"Cris Hotel","Hotel",0
61,"Mar e Mar Florianópolis","Hotel",0
62,"Novotel Florianopolis","Hotel",0
63,"Iate Hotel Centro Florianópolis","Hotel",0
64,"IL Campanario Villaggio Resort - OFICIAL","Hotel",0
65,"Pousada Lozalti","Hotel",0
66,"Faial Prime Suítes","Hotel",0
67,"Pousada Quintal Verde Floripa","Hotel",0
68,"Tri Hotel Florianópolis","Hotel",0
69,"Belle Arti Pousada","Hotel",0
70,"HANNA Amsterdam Hotel & Eventos","Hotel",0
71,"Pousada Praia dos Ingleses","Hotel",0
72,"Hotel Farol da Ilha","Hotel",0
73,"Slaviero Baia Norte Florianópolis","Hotel",0
74,"Blue Tree Premium Florianópolis","Hotel",0
75,"Pousada Ilha do Campeche","Hotel",0
76,"Hotel & Pousada Sonho Meu","Hotel",0
77,"Rio Branco Hotel","Hotel",0
78,"Porto da Ilha Hotel","Hotel",0
79,"Pousada Porto do Arvoredo","Hotel",0
80,"Intercity Florianopolis","Hotel",0
81,"Pousada Santarina","Hotel",0
82,"Intercity Portofino Florianópolis","Hotel",0
83,"Slaviero Ingleses Convention","Hotel",0
84,"Hotel Bruggemann","Hotel",0
85,"Joaquina 433 - Pousada Floripa","Hotel",0
86,"Hotel Jurerê Beach Village - OFICIAL","Hotel",0
87,"Bewiki","Hotel",0
88,"Hotel São Sebastião da Praia","Hotel",0
89,"Pousada da Mel - Canasvieiras Floripa","Hotel",0
90,"Pousada Vó Regina","Hotel",0
91,"Hotel de Carvalho","Hotel",0
92,"Haute Haus - Guest House","Hotel",0
93,"Hotel Natur Campeche","Hotel",0
94,"GH Bizkaia","Hotel",0
95,"Hotel & Pousada Favareto","Hotel",0
96,"Gentil Hotel","Hotel",0
97,"Pousada Barbroch","Hotel",0
98,"Ingleses Park Hotel","Hotel",0
99,"Hotel Vila Mar","Hotel",0
100,"Hotel Residencial Ilhabela","Hotel",0
101,"Praia Mole Hotel","Hotel",0
102,"Hotel e Pousada Recanto do mar","Hotel",0
103,"Bossa Jurerê Hotel","Hotel",0
104,"Hotel Porto Sol Beach","Hotel",0
105,"Casa da Marilú","Hotel",0
106,"Pousada Mar de Dentro","Hotel",0
107,"Costa Norte Ponta das Canas Hotel","Hotel",0
108,"Gaivotas Praia Hotel","Hotel",0
109,"Praia Brava Hotel","Hotel",0
110,"Palm Beach Apart Hotel","Hotel",0
111,"Penareia Floripa Beach Hotel","Hotel",0
112,"Residencial Terrazas","Hotel",0
113,"Interclass Florianópolis","Hotel",0
114,"VOA Samuka Hotel","Hotel",0
115,"InnFloripa - Pousada no Campeche","Hotel",0
116,"Hotel Palace 1","Hotel",0
117,"Hotel Sete Ilhas","Hotel",0
118,"GH Ingleses","Hotel",0
119,"Hotel & Pousada Bella Vista","Hotel",0
120,"Caravaggio Praia Hotel","Hotel",0
121,"Lumar Hotel","Hotel",0
122,"POUSADA LOS AMIGOS CAMPECHE","Hotel",0
123,"Brisamar Suite Hotel","Hotel",0
124,"GH Canal da Barra","Hotel",0
125,"Pousada Schmitz","Hotel",0
126,"Ingleses Palace Hotel","Hotel",0
127,"Hotel Porto Madero","Hotel",0
128,"Pousada Recanto do Aconchego","Hotel",0
129,"Boulevard Beach Canasvieiras Hotel","Hotel",0
130,"Flat Pietra","Hotel",0
131,"Hotel Don Zepe","Hotel",0
132,"Chocoland Hotel Gramado","Hotel",0
133,"Natur Hotel - 700m da Rua Coberta","Hotel",0
134,"Hotel Gramado Palace","Hotel",0
135,"Flat em Gramado","Hotel",0
136,"Hotel Gramado Interlaken","Hotel",0
137,"Hotel Cabanas Glamour","Hotel",0
138,"Pousada Quinta do Vale","Hotel",0
139,"Buona Vitta Gramado Resort & Spa by Gramado Parks","Hotel",0
140,"Wyndham Gramado Termas Resort & Spa","Hotel",0
141,"Hotel Giardino Di Pietra","Hotel",0
142,"Estalagem La Hacienda","Hotel",0
143,"Pousada do Verde Gramado","Hotel",0
144,"Hotel Monte Felice Bosque","Hotel",0
145,"Pousada Serra Valle","Hotel",0
146,"Hotel e Restaurante GIRATÓRIO RF Vision - A melhor vista 360 de Gramado","Hotel",0
147,"Pousada Monte Felice Recanto da Lua","Hotel",0
148,"Hotel Bangalôs da Serra","Hotel",0
149,"Wood Hotel Gramado","Hotel",0
150,"Hotel Kehl Haus","Hotel",0
151,"Hotel Triveneto Gramado","Hotel",0
152,"Sky Premium Hotel Gramado - Ótima Localização","Hotel",0
153,"Pousada Bella Terra","Hotel",0
154,"Hotel Locanda Casa D'Oro","Hotel",0
155,"Hotel Fioreze Origem","Hotel",0
156,"Laghetto Resort Golden Oficial","Hotel",0
157,"Hotel Britanico Express","Hotel",0
158,"Pousada Tia Leonor","Hotel",0
159,"Sky Palace Hotel","Hotel",0
160,"Le Boutique Hotel Gramado - Exclusivo para Casais","Hotel",0
161,"Pousada Ares da Serra - Centro","Hotel",0
162,"Hotel Pousada do Mel","Hotel",0
163,"Pousada Rosa","Hotel",0
164,"Pousada Cabanas Rota do Sol","Hotel",0
165,"Micheline Hotel Tricot - ao lado da Rua Coberta","Hotel",0
166,"Hotel Sky Gramado","Hotel",0
167,"Pousada Árvore Da Coruja","Hotel",0
168,"Hotel Monte Felice Centro","Hotel",0
169,"Sky Valle Hotel","Hotel",0
170,"Pousada Natal Encantado","Hotel",0
171,"Petit Hotel Provence Gramado","Hotel",0
172,"Pousada Bella Viena","Hotel",0
173,"Hotel Pequeno Bosque","Hotel",0
174,"Master Gramado Hotel - Espaço Kids Incrível","Hotel",0
175,"Exclusive Gramado Hotel & Spa by Gramado Parks","Hotel",0
176,"Hotel Cercano","Hotel",0
177,"Eleganz Suítes Exclusive Centro","Hotel",0
178,"Hotel Laghetto Stilo Borges","Hotel",0
179,"Pousada Tango","Hotel",0
180,"Pousada Das Papoulas","Hotel",0
181,"Hotel Cabanas Tio Müller","Hotel",0
182,"249 DESIGN HOTEL","Hotel",0
183,"Hotel Canto Verde","Hotel",0
184,"Hotel Laghetto Pedras Altas","Hotel",0
185,"WoodStone Hotel Fazenda","Hotel",0
186,"Bella Gramado Resort & Spa by Gramado Parks","Hotel",0
187,"Laghetto Stilo Vita","Hotel",0
188,"Hotel Alpestre","Hotel",0
189,"Hotel Colline de France","Hotel",0
190,"Hotel Fioreze Primo - 800m da Rua Coberta","Hotel",0
191,"Pousada Nosso Lar","Hotel",0
192,"Sky Serra Hotel","Hotel",0
193,"HANNA Pórtico Hotel - Gramado","Hotel",0
194,"Colina Lagos Hotel","Hotel",0
195,"Pousada Vovó Carolina","Hotel",0
196,"Pousada Belluno","Hotel",0
197,"Pousada João e Maria Gramado","Hotel",0
198,"Zermatt Hotel","Hotel",0
199,"Hotel Fioreze Quero Quero","Hotel",0
200,"Hotel Vovó Carolina","Hotel",0
201,"Pousada Três Pinheiros","Hotel",0
202,"Hotel Pousada Ald' Mama","Hotel",0
203,"Prodigy Gramado by Wish","Hotel",0
204,"Hotel Kaster","Hotel",0
205,"Pousada Águia Branca","Hotel",0
206,"Hotel Recanto da Serra","Hotel",0
207,"KABIN Taka","Hotel",0
208,"The Hotel Seiryu Kyoto Kiyomizu - a member of the Leading Hotels of the World-","Hotel",0
209,"Hotel Keihan Kyoto Ekiminami","Hotel",0
210,"Tokyu Stay Kyoto Sakaiza Shijo Kawaramachi","Hotel",0
211,"Comfort Hotel Kyoto Horikawagojo","Hotel",0
212,"Shizutetsu Hotel Prezio Kyoto Shijo","Hotel",0
213,"Wander Kyoto Nanajo","Hotel",0
214,"Kyoto Brighton Hotel","Hotel",0
215,"Henn na Hotel Premier Kyoto Eki Hachijoguchimae","Hotel",0
216,"Miyako City Kintetsu Kyoto Station","Hotel",0
217,"Henn na Hotel Premier Kyoto Gojo Karasuma -Formerly Watermark Hotel Kyoto-","Hotel",0
218,"The Gate Hotel Kyoto Takasegawa by Hulic","Hotel",0
219,"Loisir Hotel Kyoto Toji","Hotel",0
220,"Hotel M's Plus Shijo Omiya","Hotel",0
221,"Sakura Cross Hotel Kyoto Kiyomizu","Hotel",0
222,"Hotel Grand Bach Kyoto Select","Hotel",0
223,"Hotel Resol Kyoto Kawaramachi Sanjo","Hotel",0
224,"Urban Hotel Kyoto Gojo Premium","Hotel",0
225,"Comfort Hotel ERA Kyoto Toji","Hotel",0
226,"Sanco Inn Kyoto Hachijoguchi Shikinoyu","Hotel",0
227,"Tokyu Stay Kyoto Sanjo-Karasuma","Hotel",0
228,"Agora Kyoto Karasuma","Hotel",0
229,"CHISUN PREMIUM Kyoto Kujo","Hotel",0
230,"KAYA Kyoto Nijo Castle, BW Signature Collection by Best Western","Hotel",0
231,"Daiwa Roynet Hotel Kyoto Terrace Hachijo PREMIER","Hotel",0
232,"Smart Place Inn Kyoto Shijo Horikawa","Hotel",0
233,"The Royal Park Hotel Iconic Kyoto","Hotel",0
234,"KOKO HOTEL Kyoto Sanjo - formerly Hotel Wing International Premium Kyoto Sanjo","Hotel",0
235,"STITCH HOTEL Kyoto","Hotel",0
236,"insomnia KYOTO OIKE","Hotel",0
237,"Agora Kyoto Shijo","Hotel",0
238,"Richmond Hotel Premier Kyoto Shijo","Hotel",0
239,"Richmond Hotel Premier Kyoto Ekimae","Hotel",0
240,"Mitsui Garden Hotel Kyoto Station","Hotel",0
241,"Hotel Resol Kyoto Shijo Muromachi","Hotel",0
242,"GLANZ KEI Kyoto Station","Hotel",0
243,"Rihga Gran Kyoto","Hotel",0
244,"Hotel Monterey Kyoto","Hotel",0
245,"Dhawa Yura Kyoto","Hotel",0
246,"APA Hotel Kyoto Gojo Omiya","Hotel",0
247,"KOKO HOTEL Residence Kyoto Nijo Castle","Hotel",0
248,"Hotel Resol Trinity Kyoto","Hotel",0
249,"Mitsui Garden Hotel Kyoto Shinmachi Bettei","Hotel",0
250,"Stay SAKURA Kyoto Higashi Hongan-ji I","Hotel",0
251,"Apartment Hotel 11 Yasaka","Hotel",0
252,"Hotel M's Est Shijo Karasuma","Hotel",0
253,"Hotel The M's Kyoto","Hotel",0
254,"Kyohotel Kishotei Goshominami","Hotel",0
255,"Hotel Gran Ms Kyoto","Hotel",0
256,"M's Hotel Sanjo Omiya","Hotel",0
257,"Stay SAKURA Kyoto Shijo Karasuma","Hotel",0
258,"Daiwa Roynet Hotel Kyoto-Hachijoguchi","Hotel",0
259,"Candeo Hotels Kyoto Karasuma Rokkaku","Hotel",0
260,"Hotel Traveltine Kyoto Kiyamachi","Hotel",0
261,"Zen Kyoto Apartment Hotel","Hotel",0
262,"MIMARU Kyoto Kawaramachi Gojo","Hotel",0
263,"M's Hotel Kyoto Station Kizuya","Hotel",0
264,"GOZAN HOTEL & SERVICED APARTMENT Higashiyama Sanjo","Hotel",0
265,"MONday Apart Premium KYOTO Station","Hotel",0
