"sk_tempo","sk_hotel","sk_local","preco","avaliacao"
1,1,1,"203.00","7.00"
1,2,1,"257.00","8.00"
1,3,1,"250.00","6.00"
1,4,1,"147.00","7.00"
1,5,1,"449.00","8.00"
1,6,1,"444.00","7.00"
1,7,1,"468.00","8.00"
1,8,1,"153.00","8.00"
1,9,1,"642.00","8.00"
1,10,1,"319.00","7.00"
1,11,1,"985.00","9.00"
1,12,1,"209.00","8.00"
1,13,1,"460.00","8.00"
1,14,1,"830.00","8.00"
1,15,1,"234.00","7.00"
1,16,1,"612.00","8.00"
1,17,1,"204.00","8.00"
1,18,1,"135.00","7.00"
1,19,1,"320.00","8.00"
1,20,1,"267.00","7.00"
1,21,1,"185.00","7.00"
1,22,1,"302.00","7.00"
1,23,1,"133.00","8.00"
1,24,1,"250.00","7.00"
1,25,1,"225.00","8.00"
1,26,1,"307.00","7.00"
1,27,1,"260.00","8.00"
1,28,1,"265.00","8.00"
1,29,1,"189.00","6.00"
1,30,1,"208.00","7.00"
1,31,1,"720.00","8.00"
1,32,1,"270.00","8.00"
1,33,1,"198.00","8.00"
1,34,1,"425.00","8.00"
1,35,1,"200.00","7.00"
1,36,1,"159.00","6.00"
1,37,1,"180.00","7.00"
1,38,1,"342.00","8.00"
1,39,1,"370.00","8.00"
1,40,1,"229.00","8.00"
1,41,1,"135.00","7.00"
1,42,1,"540.00","8.00"
1,43,1,"208.00","7.00"
1,44,1,"470.00","9.00"
1,45,1,"272.00","7.00"
1,46,1,"171.00","8.00"
1,47,1,"80.00","6.00"
1,48,1,"130.00","8.00"
1,49,1,"200.00","8.00"
1,50,1,"180.00","7.00"
1,51,1,"87.00","8.00"
1,52,1,"151.00","8.00"
1,53,1,"180.00","9.00"
1,54,1,"285.00","8.00"
1,55,1,"189.00","7.00"
1,56,1,"180.00","5.00"
1,57,1,"729.00","9.00"
1,58,58,"398.00","8.00"
1,59,58,"495.00","7.00"
1,60,60,"269.00","8.00"
1,61,61,"263.00","8.00"
1,62,58,"788.00","8.00"
1,63,58,"434.00","8.00"
1,64,64,"645.00","8.00"
1,65,65,"312.00","9.00"
1,66,58,"462.00","8.00"
1,67,60,"240.00","8.00"
1,68,68,"249.00","7.00"
1,69,68,"397.00","9.00"
1,70,70,"195.00","7.00"
1,71,61,"180.00","8.00"
1,72,58,"240.00","8.00"
